user_id,amount,recency,frequency,is_male,viewed_num,bought_num,bought/sum
985,2656.16,2.0,21,1,19,2,0.09523809523809523
1085,7629.5599999999995,2.0,18,1,12,6,0.3333333333333333
326,9269.15,3.0,18,0,15,3,0.16666666666666666
798,29911.6,1.0,21,1,17,4,0.19047619047619047
975,590.87,8.0,12,1,11,1,0.08333333333333333
614,37932.31,1.0,20,1,13,7,0.35
945,30474.510000000002,4.0,17,1,14,3,0.17647058823529413
714,275.74,11.0,4,0,2,2,0.5
704,3197.03,15.0,21,1,16,5,0.23809523809523808
471,47963.33,3.0,28,1,25,3,0.10714285714285714
958,4788.34,9.0,37,1,32,5,0.13513513513513514
563,2525.63,15.0,20,1,18,2,0.1
740,2656.84,2.0,28,1,23,5,0.17857142857142858
995,21265.739999999998,1.0,20,1,18,2,0.1
911,199.98,26.0,2,0,1,1,0.5
622,1381.92,7.0,18,1,15,3,0.16666666666666666
647,1265.62,2.0,14,1,11,3,0.21428571428571427
801,38681.86,5.0,31,1,24,7,0.22580645161290322
364,9475.01,25.0,11,0,9,2,0.18181818181818182
610,1250.75,1.0,15,1,13,2,0.13333333333333333
805,8714.130000000001,16.0,9,1,6,3,0.3333333333333333
727,16088.41,18.0,31,1,26,5,0.16129032258064516
256,5492.44,4.0,39,1,35,4,0.10256410256410256
901,29644.16,5.0,13,1,9,4,0.3076923076923077
852,7346.42,5.0,15,0,11,4,0.26666666666666666
858,2607.92,13.0,2,0,1,1,0.5
418,10886.18,1.0,23,1,20,3,0.13043478260869565
196,44784.659999999996,2.0,51,0,45,6,0.11764705882352941
386,22389.43,23.0,6,1,5,1,0.16666666666666666
1100,38382.62,12.0,32,1,26,6,0.1875
476,8586.0,5.0,23,1,18,5,0.21739130434782608
751,1666.95,10.0,10,0,8,2,0.2
904,7909.91,1.0,38,1,29,9,0.23684210526315788
810,3791.88,4.0,9,0,7,2,0.2222222222222222
687,50584.09,2.0,47,0,41,6,0.1276595744680851
671,15596.81,1.0,41,1,34,7,0.17073170731707318
739,2549.7999999999997,1.0,15,0,11,4,0.26666666666666666
968,2614.56,17.0,3,1,2,1,0.3333333333333333
927,4140.18,3.0,27,1,22,5,0.18518518518518517
340,23218.12,6.0,17,1,16,1,0.058823529411764705
250,5462.13,2.0,6,1,5,1,0.16666666666666666
923,54605.13,1.0,31,1,27,4,0.12903225806451613
105,29104.88,16.0,23,1,19,4,0.17391304347826086
245,2838.41,1.0,10,1,6,4,0.4
731,6961.9,1.0,9,1,7,2,0.2222222222222222
705,31892.08,6.0,43,1,35,8,0.18604651162790697
851,3805.96,2.0,18,1,15,3,0.16666666666666666
529,9345.05,3.0,17,1,14,3,0.17647058823529413
147,1884.52,3.0,21,1,15,6,0.2857142857142857
630,5356.6,7.0,16,1,15,1,0.0625
398,11206.46,19.0,21,1,19,2,0.09523809523809523
548,50236.93,12.0,18,1,15,3,0.16666666666666666
535,1863.8700000000001,13.0,24,0,21,3,0.125
400,6881.71,9.0,18,1,15,3,0.16666666666666666
824,35602.91,6.0,15,0,11,4,0.26666666666666666
103,10777.52,12.0,25,0,21,4,0.16
1084,3150.83,1.0,18,1,17,1,0.05555555555555555
268,4809.16,5.0,19,1,14,5,0.2631578947368421
485,2939.39,4.0,22,1,18,4,0.18181818181818182
466,11062.01,5.0,18,1,15,3,0.16666666666666666
106,22494.14,6.0,9,0,8,1,0.1111111111111111
1022,23050.03,1.0,18,1,14,4,0.2222222222222222
962,9518.82,3.0,34,1,30,4,0.11764705882352941
1067,10538.51,3.0,19,0,17,2,0.10526315789473684
603,5388.29,7.0,15,0,12,3,0.2
119,2014.39,7.0,26,1,22,4,0.15384615384615385
685,11084.75,5.0,28,1,22,6,0.21428571428571427
583,965.41,20.0,16,1,14,2,0.125
920,3135.13,5.0,15,1,12,3,0.2
970,40488.2,6.0,39,1,32,7,0.1794871794871795
391,2877.35,1.0,6,1,5,1,0.16666666666666666
659,1424.85,2.0,7,1,6,1,0.14285714285714285
1087,30694.27,3.0,15,1,11,4,0.26666666666666666
215,917.6700000000001,9.0,10,1,9,1,0.1
513,373.97,19.0,4,1,3,1,0.25
885,25574.34,15.0,16,1,14,2,0.125
642,20847.27,5.0,42,0,37,5,0.11904761904761904
966,1616.65,3.0,21,1,18,3,0.14285714285714285
780,33158.76,8.0,25,1,21,4,0.16
719,47538.84,11.0,30,1,26,4,0.13333333333333333
356,7123.360000000001,6.0,6,0,5,1,0.16666666666666666
177,8247.37,10.0,21,0,17,4,0.19047619047619047
861,3146.45,7.0,32,1,30,2,0.0625
834,9961.310000000001,3.0,14,1,12,2,0.14285714285714285
178,1230.28,5.0,19,0,17,2,0.10526315789473684
817,10668.01,9.0,42,0,35,7,0.16666666666666666
816,2443.68,6.0,11,1,8,3,0.2727272727272727
396,1655.21,2.0,7,0,5,2,0.2857142857142857
669,5373.0,8.0,13,0,11,2,0.15384615384615385
213,3215.86,7.0,6,1,4,2,0.3333333333333333
595,2812.69,4.0,22,1,19,3,0.13636363636363635
591,43115.73,3.0,51,1,44,7,0.13725490196078433
978,2905.5499999999997,3.0,5,1,4,1,0.2
167,649.6700000000001,8.0,8,1,7,1,0.125
1019,1752.79,2.0,9,1,8,1,0.1111111111111111
664,979.94,10.0,8,1,5,3,0.375
451,2503.44,3.0,12,0,7,5,0.4166666666666667
895,8453.78,6.0,27,0,23,4,0.14814814814814814
310,463.65999999999997,3.0,5,1,4,1,0.2
754,4976.14,2.0,41,1,34,7,0.17073170731707318
353,25380.77,5.0,16,1,12,4,0.25
265,15984.58,2.0,24,0,20,4,0.16666666666666666
534,8817.789999999999,18.0,10,0,9,1,0.1
882,5375.16,8.0,11,1,8,3,0.2727272727272727
621,41450.3,29.0,9,1,8,1,0.1111111111111111
482,4153.9400000000005,3.0,25,0,20,5,0.2
558,817.77,6.0,9,1,8,1,0.1111111111111111
954,27486.31,1.0,34,1,28,6,0.17647058823529413
574,129.6,6.0,2,0,1,1,0.5
462,7422.72,2.0,19,0,17,2,0.10526315789473684
220,13786.0,10.0,5,0,3,2,0.4
492,6309.35,3.0,13,0,11,2,0.15384615384615385
141,5697.8,8.0,27,1,22,5,0.18518518518518517
854,6886.4,16.0,24,1,20,4,0.16666666666666666
1098,49080.28,5.0,34,0,31,3,0.08823529411764706
302,426.98,25.0,5,1,4,1,0.2
290,3853.88,10.0,18,1,15,3,0.16666666666666666
355,40282.25,1.0,36,0,30,6,0.16666666666666666
551,3615.54,5.0,56,1,48,8,0.14285714285714285
139,1927.51,2.0,15,1,14,1,0.06666666666666667
465,7582.88,15.0,21,0,18,3,0.14285714285714285
261,42501.39,2.0,27,0,24,3,0.1111111111111111
526,41989.95,4.0,29,0,26,3,0.10344827586206896
864,9132.04,4.0,15,1,13,2,0.13333333333333333
650,9699.13,6.0,21,1,20,1,0.047619047619047616
359,7145.28,4.0,29,1,23,6,0.20689655172413793
635,10463.26,19.0,9,1,6,3,0.3333333333333333
271,5042.68,1.0,20,1,17,3,0.15
412,8915.08,3.0,21,1,19,2,0.09523809523809523
284,117.94,24.0,2,0,1,1,0.5
878,408.36,5.0,10,1,9,1,0.1
1058,6554.7300000000005,3.0,32,1,26,6,0.1875
142,2189.41,10.0,9,1,8,1,0.1111111111111111
160,15874.41,5.0,21,1,17,4,0.19047619047619047
597,6555.28,1.0,37,0,30,7,0.1891891891891892
342,2776.7200000000003,5.0,14,1,13,1,0.07142857142857142
1072,26609.93,4.0,14,0,11,3,0.21428571428571427
488,1339.8000000000002,6.0,15,1,13,2,0.13333333333333333
262,35566.19,3.0,19,0,14,5,0.2631578947368421
1089,1937.15,15.0,14,1,13,1,0.07142857142857142
405,15648.54,1.0,33,1,25,8,0.24242424242424243
1044,25424.87,16.0,8,1,6,2,0.25
189,3323.9800000000005,19.0,7,0,6,1,0.14285714285714285
855,1130.0700000000002,19.0,6,1,5,1,0.16666666666666666
568,775.66,10.0,8,0,7,1,0.125
283,2217.97,4.0,6,1,5,1,0.16666666666666666
1001,2486.85,5.0,20,1,16,4,0.2
379,57326.29,1.0,48,0,41,7,0.14583333333333334
564,8310.8,3.0,40,1,32,8,0.2
1037,6577.24,9.0,22,0,16,6,0.2727272727272727
587,4356.59,7.0,5,0,4,1,0.2
609,51172.52,9.0,15,0,12,3,0.2
1101,117.94,18.0,2,0,1,1,0.5
711,6083.73,13.0,10,1,7,3,0.3
308,3752.52,4.0,19,1,15,4,0.21052631578947367
154,33424.95,1.0,25,1,21,4,0.16
918,13898.130000000001,2.0,47,0,42,5,0.10638297872340426
598,577.85,12.0,8,0,7,1,0.125
560,5687.03,2.0,33,0,25,8,0.24242424242424243
935,31198.61,1.0,25,0,21,4,0.16
301,35857.89,8.0,22,0,16,6,0.2727272727272727
756,4634.04,19.0,2,0,1,1,0.5
807,15570.38,5.0,19,1,16,3,0.15789473684210525
867,1908.9,2.0,8,1,5,3,0.375
547,1166.59,18.0,11,1,9,2,0.18181818181818182
415,23128.14,8.0,17,1,14,3,0.17647058823529413
246,1816.95,20.0,4,1,3,1,0.25
150,4762.93,1.0,9,0,7,2,0.2222222222222222
736,39580.22,8.0,18,0,16,2,0.1111111111111111
828,117.94,10.0,2,1,1,1,0.5
1020,8778.71,6.0,11,1,7,4,0.36363636363636365
334,2724.51,1.0,18,1,16,2,0.1111111111111111
181,5992.32,3.0,26,0,22,4,0.15384615384615385
724,36296.24,18.0,13,1,12,1,0.07692307692307693
508,3094.19,2.0,23,1,18,5,0.21739130434782608
354,218.0,24.0,2,1,1,1,0.5
174,117.94,21.0,2,1,1,1,0.5
747,199.98,6.0,2,0,1,1,0.5
921,2851.12,3.0,18,1,16,2,0.1111111111111111
459,31269.64,3.0,19,1,16,3,0.15789473684210525
212,8114.24,1.0,23,1,18,5,0.21739130434782608
361,40616.78,2.0,37,1,31,6,0.16216216216216217
581,11645.369999999999,4.0,31,1,29,2,0.06451612903225806
746,63512.04,1.0,19,1,17,2,0.10526315789473684
323,129.6,20.0,2,0,1,1,0.5
345,3198.55,17.0,12,0,9,3,0.25
117,328.98,22.0,3,1,2,1,0.3333333333333333
600,15545.95,3.0,40,1,35,5,0.125
1034,62972.67,3.0,31,1,26,5,0.16129032258064516
365,1106.0,20.0,2,1,1,1,0.5
1005,2435.78,7.0,5,1,3,2,0.4
179,14675.69,2.0,30,0,26,4,0.13333333333333333
523,923.61,1.0,18,1,15,3,0.16666666666666666
409,14702.73,4.0,37,1,30,7,0.1891891891891892
104,12038.67,12.0,15,1,14,1,0.06666666666666667
596,2040.8200000000002,11.0,14,0,12,2,0.14285714285714285
421,3454.83,5.0,27,0,22,5,0.18518518518518517
454,7236.18,15.0,11,0,10,1,0.09090909090909091
320,8414.05,2.0,21,1,18,3,0.14285714285714285
343,4329.3,4.0,18,1,16,2,0.1111111111111111
689,13641.59,1.0,36,1,32,4,0.1111111111111111
307,11734.77,9.0,11,1,10,1,0.09090909090909091
613,10905.74,5.0,33,1,28,5,0.15151515151515152
844,16112.53,9.0,29,0,25,4,0.13793103448275862
314,36907.4,3.0,9,0,7,2,0.2222222222222222
838,11122.61,14.0,12,1,10,2,0.16666666666666666
833,199.98,11.0,2,0,1,1,0.5
914,317.91999999999996,16.0,4,1,2,2,0.5
549,22114.89,1.0,24,1,19,5,0.20833333333333334
788,20705.84,14.0,17,1,14,3,0.17647058823529413
545,1902.4,7.0,24,1,18,6,0.25
836,2614.56,7.0,3,0,2,1,0.3333333333333333
350,6022.42,18.0,17,0,15,2,0.11764705882352941
122,36815.88,10.0,18,0,16,2,0.1111111111111111
777,3245.1,4.0,44,0,38,6,0.13636363636363635
148,4287.599999999999,2.0,15,0,12,3,0.2
765,55271.49,3.0,48,1,43,5,0.10416666666666667
661,6869.1900000000005,3.0,21,0,16,5,0.23809523809523808
324,14321.89,13.0,9,1,8,1,0.1111111111111111
1012,1106.0,3.0,2,1,1,1,0.5
501,41816.23,16.0,22,0,17,5,0.22727272727272727
309,5306.360000000001,11.0,21,0,15,6,0.2857142857142857
129,9177.39,8.0,32,0,28,4,0.125
667,11920.4,7.0,28,1,21,7,0.25
1002,3977.64,1.0,24,1,19,5,0.20833333333333334
612,11833.279999999999,5.0,8,0,5,3,0.375
425,2701.06,7.0,12,1,10,2,0.16666666666666666
804,94358.79000000001,1.0,47,1,40,7,0.14893617021276595
666,9912.45,8.0,19,1,18,1,0.05263157894736842
464,420.68,2.0,6,0,5,1,0.16666666666666666
892,136.69,1.0,4,1,3,1,0.25
516,16562.95,3.0,41,1,34,7,0.17073170731707318
266,25169.24,11.0,16,0,13,3,0.1875
1092,4485.2300000000005,4.0,8,1,6,2,0.25
692,853.96,12.0,8,0,7,1,0.125
368,4177.57,5.0,15,1,10,5,0.3333333333333333
348,1814.59,4.0,23,0,20,3,0.13043478260869565
586,7640.2,2.0,21,1,17,4,0.19047619047619047
1071,9317.19,1.0,18,1,11,7,0.3888888888888889
247,30480.97,3.0,18,0,15,3,0.16666666666666666
722,19859.37,1.0,36,0,29,7,0.19444444444444445
352,8232.42,2.0,16,0,10,6,0.375
168,12380.130000000001,11.0,23,1,20,3,0.13043478260869565
1017,17666.69,5.0,10,1,9,1,0.1
971,12709.09,9.0,30,1,27,3,0.1
472,3378.6800000000003,17.0,11,0,10,1,0.09090909090909091
369,9762.06,4.0,12,1,11,1,0.08333333333333333
843,28722.43,5.0,22,1,18,4,0.18181818181818182
553,21652.010000000002,3.0,15,1,10,5,0.3333333333333333
273,5540.9,2.0,14,0,10,4,0.2857142857142857
877,43362.06,5.0,42,0,37,5,0.11904761904761904
1057,3324.48,8.0,6,1,4,2,0.3333333333333333
770,5392.46,14.0,11,0,9,2,0.18181818181818182
969,5475.41,3.0,15,0,11,4,0.26666666666666666
628,8014.360000000001,4.0,20,1,18,2,0.1
696,5620.26,7.0,6,0,4,2,0.3333333333333333
693,8718.05,8.0,21,0,16,5,0.23809523809523808
620,21315.72,8.0,25,1,21,4,0.16
1096,583.71,2.0,6,1,4,2,0.3333333333333333
952,592.26,9.0,5,1,4,1,0.2
274,8707.15,2.0,28,1,23,5,0.17857142857142858
222,2309.76,2.0,26,1,24,2,0.07692307692307693
1070,14846.68,9.0,24,1,21,3,0.125
869,4540.89,8.0,20,1,16,4,0.2
336,6629.66,4.0,21,1,18,3,0.14285714285714285
486,49130.16,3.0,43,1,36,7,0.16279069767441862
502,3311.09,2.0,19,1,17,2,0.10526315789473684
634,8533.44,1.0,41,1,34,7,0.17073170731707318
330,34408.6,11.0,21,0,19,2,0.09523809523809523
1000,44149.22,5.0,32,1,25,7,0.21875
818,6451.01,5.0,3,1,2,1,0.3333333333333333
690,16354.48,7.0,9,0,8,1,0.1111111111111111
1059,8091.87,13.0,21,1,20,1,0.047619047619047616
458,19088.13,1.0,28,1,22,6,0.21428571428571427
1045,28892.98,2.0,36,1,32,4,0.1111111111111111
197,4672.7,5.0,15,1,11,4,0.26666666666666666
752,1826.2,16.0,11,1,8,3,0.2727272727272727
577,7156.95,1.0,6,1,4,2,0.3333333333333333
859,6531.4,2.0,9,1,6,3,0.3333333333333333
170,37750.69,2.0,27,1,22,5,0.18518518518518517
227,1890.53,1.0,12,1,8,4,0.3333333333333333
489,2218.4900000000002,3.0,26,1,24,2,0.07692307692307693
792,117.94,3.0,2,0,1,1,0.5
337,1790.51,6.0,5,1,4,1,0.2
720,46212.24,3.0,20,0,16,4,0.2
522,15857.92,2.0,36,1,31,5,0.1388888888888889
916,875.25,4.0,11,0,9,2,0.18181818181818182
632,35114.04,2.0,24,1,19,5,0.20833333333333334
707,70141.96,2.0,25,1,20,5,0.2
570,8572.01,23.0,10,0,9,1,0.1
507,1073.8700000000001,8.0,11,1,8,3,0.2727272727272727
956,482.86,14.0,10,0,9,1,0.1
426,35273.13,4.0,20,0,17,3,0.15
932,6352.79,12.0,19,1,18,1,0.05263157894736842
115,6302.08,3.0,27,1,24,3,0.1111111111111111
894,45577.92,5.0,21,0,18,3,0.14285714285714285
461,326.44,5.0,5,0,3,2,0.4
648,10766.86,2.0,29,1,23,6,0.20689655172413793
440,56392.94,5.0,27,1,26,1,0.037037037037037035
190,100231.04,2.0,73,0,63,10,0.136986301369863
322,89.98,28.0,2,1,1,1,0.5
333,5722.15,5.0,12,1,9,3,0.25
296,65827.04,6.0,32,1,27,5,0.15625
1041,36215.52,1.0,12,0,10,2,0.16666666666666666
299,47185.06,5.0,44,1,39,5,0.11363636363636363
286,10697.85,8.0,29,1,24,5,0.1724137931034483
259,1133.92,20.0,5,1,3,2,0.4
680,35923.07,3.0,29,0,22,7,0.2413793103448276
410,6098.72,8.0,10,1,6,4,0.4
239,993.56,12.0,10,1,7,3,0.3
933,15769.24,2.0,35,1,25,10,0.2857142857142857
275,8180.860000000001,1.0,28,1,24,4,0.14285714285714285
321,329.96000000000004,9.0,4,1,3,1,0.25
784,1136.16,8.0,10,1,8,2,0.2
673,10052.539999999999,4.0,18,1,14,4,0.2222222222222222
546,13542.5,1.0,16,1,12,4,0.25
510,8069.93,11.0,6,1,5,1,0.16666666666666666
218,9665.45,10.0,14,1,13,1,0.07142857142857142
842,7726.2,2.0,11,1,9,2,0.18181818181818182
748,19036.04,8.0,5,0,4,1,0.2
1008,77332.6,4.0,55,1,46,9,0.16363636363636364
531,20573.12,5.0,9,1,6,3,0.3333333333333333
775,3393.45,18.0,14,1,11,3,0.21428571428571427
341,9649.7,13.0,6,1,4,2,0.3333333333333333
938,43604.14,7.0,25,0,22,3,0.12
636,5245.46,3.0,10,1,8,2,0.2
456,6485.92,6.0,24,1,20,4,0.16666666666666666
371,9334.0,17.0,4,1,2,2,0.5
537,816.2,10.0,12,0,11,1,0.08333333333333333
424,369.78,7.0,4,1,3,1,0.25
249,62955.69,1.0,29,1,22,7,0.2413793103448276
742,2506.5,14.0,15,1,13,2,0.13333333333333333
490,9991.15,3.0,15,0,10,5,0.3333333333333333
467,4926.85,3.0,17,1,14,3,0.17647058823529413
280,1106.0,10.0,2,1,1,1,0.5
571,24908.92,2.0,22,1,19,3,0.13636363636363635
479,6521.89,3.0,24,1,17,7,0.2916666666666667
716,1998.43,2.0,8,1,7,1,0.125
373,12736.2,2.0,27,0,22,5,0.18518518518518517
812,6404.07,3.0,21,0,19,2,0.09523809523809523
1004,778.23,6.0,13,1,12,1,0.07692307692307693
555,31026.1,14.0,17,1,15,2,0.11764705882352941
655,4623.77,3.0,11,0,7,4,0.36363636363636365
1018,1373.65,16.0,14,1,12,2,0.14285714285714285
654,37608.22,3.0,26,1,19,7,0.2692307692307692
891,1634.8600000000001,5.0,12,0,10,2,0.16666666666666666
524,1106.41,10.0,15,0,14,1,0.06666666666666667
1060,5098.1,5.0,8,1,6,2,0.25
393,9606.15,12.0,26,1,21,5,0.19230769230769232
130,13525.56,4.0,25,0,18,7,0.28
601,32967.2,1.0,55,0,48,7,0.12727272727272726
873,11647.85,5.0,15,1,13,2,0.13333333333333333
757,48924.3,5.0,32,1,28,4,0.125
303,4634.04,10.0,2,1,1,1,0.5
251,117.94,20.0,2,0,1,1,0.5
207,33924.520000000004,2.0,51,0,43,8,0.1568627450980392
802,5576.26,5.0,28,0,23,5,0.17857142857142858
243,3642.46,6.0,8,0,5,3,0.375
644,7656.99,4.0,17,1,14,3,0.17647058823529413
468,3682.57,11.0,22,0,17,5,0.22727272727272727
236,8278.6,1.0,34,0,29,5,0.14705882352941177
434,17176.9,4.0,14,1,11,3,0.21428571428571427
351,7555.9,2.0,25,0,19,6,0.24
201,17494.05,7.0,28,0,23,5,0.17857142857142858
306,714.52,2.0,13,1,11,2,0.15384615384615385
947,15281.74,1.0,30,1,23,7,0.23333333333333334
163,31292.04,4.0,8,1,7,1,0.125
133,39745.32,10.0,29,1,24,5,0.1724137931034483
376,45517.03,6.0,45,1,39,6,0.13333333333333333
1093,1626.0,1.0,6,1,4,2,0.3333333333333333
986,10322.79,9.0,26,1,21,5,0.19230769230769232
439,8294.68,3.0,14,1,13,1,0.07142857142857142
244,57380.56,1.0,26,1,21,5,0.19230769230769232
573,1783.35,2.0,19,1,16,3,0.15789473684210525
761,1120.99,7.0,3,1,2,1,0.3333333333333333
171,9869.33,7.0,16,0,14,2,0.125
538,716.56,25.0,4,1,3,1,0.25
1063,6614.78,25.0,5,1,4,1,0.2
988,2754.83,7.0,6,0,4,2,0.3333333333333333
276,20980.27,8.0,18,1,15,3,0.16666666666666666
406,1422.98,22.0,10,0,8,2,0.2
423,7065.45,2.0,23,1,18,5,0.21739130434782608
328,51191.37,4.0,43,1,36,7,0.16279069767441862
718,32943.51,21.0,15,0,12,3,0.2
366,14322.31,2.0,31,0,26,5,0.16129032258064516
616,1940.23,5.0,17,1,15,2,0.11764705882352941
723,9155.56,7.0,33,1,27,6,0.18181818181818182
1021,49083.26,1.0,29,1,23,6,0.20689655172413793
527,8494.32,4.0,20,1,17,3,0.15
144,2209.67,6.0,9,0,7,2,0.2222222222222222
972,8774.220000000001,1.0,19,1,17,2,0.10526315789473684
431,20374.52,3.0,41,1,36,5,0.12195121951219512
199,24491.13,4.0,32,1,24,8,0.25
678,45365.5,5.0,45,1,38,7,0.15555555555555556
865,525.5,7.0,7,1,6,1,0.14285714285714285
559,7981.28,14.0,13,1,10,3,0.23076923076923078
1052,83098.44,2.0,43,1,33,10,0.23255813953488372
698,9241.17,14.0,5,1,3,2,0.4
520,3850.16,6.0,7,1,4,3,0.42857142857142855
375,22179.87,5.0,24,1,20,4,0.16666666666666666
996,1635.03,3.0,19,0,17,2,0.10526315789473684
232,3633.94,25.0,2,1,1,1,0.5
521,6253.98,11.0,8,0,6,2,0.25
741,8418.08,1.0,37,1,31,6,0.16216216216216217
1049,7142.61,1.0,33,0,29,4,0.12121212121212122
1009,4565.49,8.0,15,1,13,2,0.13333333333333333
974,4399.8,2.0,2,1,1,1,0.5
550,8022.2300000000005,9.0,46,1,44,2,0.043478260869565216
381,1106.0,7.0,2,0,1,1,0.5
511,2816.73,3.0,9,1,7,2,0.2222222222222222
967,1794.6799999999998,19.0,11,0,9,2,0.18181818181818182
493,5929.360000000001,3.0,23,0,17,6,0.2608695652173913
887,838.79,13.0,11,1,9,2,0.18181818181818182
641,117.94,5.0,2,1,1,1,0.5
776,11862.0,2.0,34,1,27,7,0.20588235294117646
841,44616.15,1.0,17,1,14,3,0.17647058823529413
813,2513.67,8.0,18,1,15,3,0.16666666666666666
1030,34593.64,4.0,30,1,26,4,0.13333333333333333
982,2058.65,1.0,24,0,20,4,0.16666666666666666
346,2341.0,19.0,5,0,3,2,0.4
448,4352.63,2.0,21,1,17,4,0.19047619047619047
305,11092.57,8.0,28,1,23,5,0.17857142857142858
385,332.98,1.0,4,1,3,1,0.25
781,22331.73,10.0,19,1,15,4,0.21052631578947367
541,30635.96,1.0,31,1,25,6,0.1935483870967742
214,33083.17,1.0,35,1,32,3,0.08571428571428572
1080,2271.9,4.0,9,1,6,3,0.3333333333333333
152,4065.68,3.0,16,0,12,4,0.25
145,47221.44,6.0,23,1,20,3,0.13043478260869565
1040,8690.970000000001,2.0,21,0,16,5,0.23809523809523808
984,93096.18,9.0,37,0,35,2,0.05405405405405406
525,11724.93,13.0,19,1,16,3,0.15789473684210525
544,30851.52,17.0,10,1,8,2,0.2
1007,10518.83,7.0,53,1,45,8,0.1509433962264151
270,115450.06,5.0,81,0,69,12,0.14814814814814814
208,1350.25,4.0,22,1,19,3,0.13636363636363635
806,36060.34,4.0,12,1,9,3,0.25
226,9733.05,2.0,28,1,22,6,0.21428571428571427
939,6556.87,4.0,10,1,7,3,0.3
413,42378.99,2.0,21,1,17,4,0.19047619047619047
480,5614.01,7.0,18,0,15,3,0.16666666666666666
136,1005.77,11.0,9,1,8,1,0.1111111111111111
108,62526.12,3.0,69,1,59,10,0.14492753623188406
362,2373.1400000000003,8.0,13,1,10,3,0.23076923076923078
282,658.95,6.0,6,0,5,1,0.16666666666666666
1043,117.94,4.0,2,1,1,1,0.5
126,40923.03,3.0,23,1,19,4,0.17391304347826086
1082,8147.54,2.0,32,0,24,8,0.25
913,39152.05,6.0,28,1,27,1,0.03571428571428571
143,3253.4,13.0,11,0,10,1,0.09090909090909091
973,909.58,5.0,6,1,5,1,0.16666666666666666
785,5362.77,13.0,8,1,7,1,0.125
449,747.9300000000001,23.0,9,0,8,1,0.1111111111111111
1053,2211.65,10.0,17,0,15,2,0.11764705882352941
679,2199.63,3.0,15,0,12,3,0.2
626,1973.06,1.0,18,0,15,3,0.16666666666666666
922,37508.15,10.0,38,0,35,3,0.07894736842105263
931,31756.21,7.0,19,1,18,1,0.05263157894736842
872,4127.37,11.0,24,0,19,5,0.20833333333333334
676,495.0,9.0,3,1,2,1,0.3333333333333333
767,6423.8,2.0,15,1,14,1,0.06666666666666667
193,32277.92,1.0,42,0,38,4,0.09523809523809523
394,48226.53,1.0,40,1,33,7,0.175
759,3083.73,1.0,22,0,18,4,0.18181818181818182
